Rank,Commercial Banks,Net Profit
1,1.6,25
2,1.38,26
3,1.35,
4,,
5,<strong>74.7</strong>,
6,<strong>2.87</strong>,1
7,4.5,3.46
8,2,Global IME Bank
9,2.9,42.07
10,Rastriya Banijya Bank,3.79
11,-13.27,4
12,3.69,3.33
13,5,Nepal Investment Bank
14,2.42,50.83
15,NIC Asia Bank,3.25
16,5.18,7
17,3.25,2.25
18,8,Nepal Bank
19,2.33,31.33
20,Himalayan Bank,2.99
21,15.89,10
22,2.83,2.14
23,11,NMB Bank
24,1.71,59.65
25,Mega Bank,2.3
26,66.67,13
27,2.29,1.24
28,14,Sanima Bank
29,1.77,28.25
30,Prabhu Bank,2.01
31,68.91,16
32,2,1.15
33,17,Everest Bank
34,2.51,-27.49
35,Machhapuchchhre Bank,1.63
36,29.37,19
37,1.59,1.19
38,20,Sunrise Bank
39,1.35,17.04
40,Laxmi Bank,1.54
41,9.22,22
42,1.53,1.46
43,23,Standard Chartered Bank
44,1.98,-29.29
45,NCC Bank,1.27
46,15.45,25
47,0.96,1.54
48,26,Century Commercial Bank
49,0.8,-6.25
50,Civil Bank,0.55
51,0.00,
52,,
53,,<strong>Total Profit Of Banks</strong>
54,<strong>52.46</strong>,<strong>20.76</strong>
55,Rastriya Banijya Bank,4.45
56,-11.88,2
57,3.57,4.24
58,3,Agricultural Development Bank
59,4.19,-17.18
60,NIC Asia Bank,3.12
61,3.31,5
62,3.09,2.76
63,6,Nepal Investment Bank
64,3.32,-22.59
65,Nepal Bank,2.56
66,-1.54,8
67,2.54,2.76
68,9,Everest Bank
69,3.05,-18.03
70,Prime Commercial Bank,2.29
71,4.09,11
72,2.27,2.26
73,12,Siddhartha Bank
74,2.26,-7.52
75,Standard Chartered Bank,1.98
76,-18.52,14
77,1.7,2.26
78,15,Nepal SBI Bank
79,2.29,-33.19
80,Mega Bank,1.52
81,-6.75,17
82,1.48,1.59
83,18,Bank Of Kathmandu
84,1.9,-22.11
85,Sunrise Bank,1.39
86,-18.71,20
87,1.37,1.78
88,21,Machhapuchchhre Bank
89,1.7,-26.47
90,Nepal Bangladesh Bank,1.24
91,-22.01,23
92,1.22,1.23
93,24,NCC Bank
94,1.02,10.78
95,Citizens Bank,1.12
96,-23.29,26
97,0.91,0.68
98,27,Civil Bank
